"row$Identification";"genotype";"latitude";"longitude"
"PlastEdge_2019-156";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-166";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-176";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-187";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-197";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-208";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-219";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-123";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-133";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-145";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-167";"An-1";"51,2167";"4,4"
"PlastEdge_2019-177";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-188";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-198";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-209";"Com-1";"49,416";"2,823"
"PlastEdge_2019-220";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-124";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-134";"Ag-0";"45";"1,3"
"PlastEdge_2019-146";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-157";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-168";"Com-1";"49,416";"2,823"
"PlastEdge_2019-178";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-189";"San-2";"56,07";"13,74"
"PlastEdge_2019-199";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-210";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-135";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-147";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-158";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-169";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-179";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-190";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-200";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-211";"Ra-0";"46";"3,3"
"PlastEdge_2019-221";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-233";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-245";"Ler-0";"47,984";"10,8719"
