"row$Identification";"genotype";"latitude";"longitude"
"PlastEdge_2019-781";"San-2";"56,07";"13,74"
"PlastEdge_2019-793";"Ag-0";"45";"1,3"
"PlastEdge_2019-805";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-828";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-840";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-852";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-864";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-875";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-771";"An-1";"51,2167";"4,4"
"PlastEdge_2019-782";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-794";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-806";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-817";"Rennes-1";"48,5";"-1,41"
