"SLA";"delta13C";"LDMC";"Thickness";"Lifespan";"CMLX";"LNC";"ABA";"JA";"Growth_rate"
"52.49580868";"-32.00671821";"74.51531329";"255.6406058";NA;NA;"5.37924";NA;NA;"0.0079555"
"15.4363249";"-30.41930919";NA;"280.3022488";NA;NA;"0.648314";NA;NA;"0.028371535"
"24.93433439";"-30.79531042";"155.931418";"257.1985953";NA;NA;"1.8445";NA;NA;"0.0168436"
"31.97585596";"-32.63429243";"117.7861163";"265.5117339";NA;NA;"2.2449";NA;NA;"0.0204"
"61.66543337";NA;"68.98382814";"235.0774228";NA;NA;NA;NA;NA;"0.008712"
"46.61566281";NA;"69.80579941";"307.3099567";NA;NA;NA;NA;NA;"0.009038842"
"19.69121684";"-28.39398739";"168.14184";"302.0310898";NA;NA;"1.34792";NA;NA;"0.0168112"
"45.33866177";"-32.28134918";"73.93617021";"298.3144921";NA;NA;"5.41416";NA;NA;"0.013908111"
"56.3651252";"-31.77624923";"78.7495348";"225.2897987";NA;NA;"5.44375";NA;NA;"0.010289083"
"49.14838695";"-32.26365627";"73.71859296";"276.0029308";NA;NA;"5.27769";NA;NA;"0.008905217"
"55.7542742";"-32.62635389";"73.36437148";"244.4762257";NA;NA;"5.30894";NA;NA;"0.008807"
"53.58139687";"-32.05798797";"72.98763289";"255.70351";NA;NA;"3.54541";NA;NA;"0.013719143"
"50.55638238";"-32.06735165";"72.1289456";"274.2296608";NA;NA;"4.78057";NA;NA;"0.011256444"
"50.10218899";"-32.45952301";"73.02060065";"273.3366693";NA;NA;"5.5307";NA;NA;"0.009900421"
"59.38395672";"-32.77221158";"65.73167505";"256.1864581";NA;NA;"6.25637";NA;NA;"0.009825889"
"45.00289681";"-31.57825651";"77.7145359";"285.9283856";NA;NA;"4.29095";NA;NA;"0.008939368"
"68.54754722";"-31.88400762";"58.39307787";"249.8312226";NA;NA;"4.52321";NA;NA;"0.009598667"
"17.76172036";"-30.37678612";"205.1393292";"274.451773";NA;NA;"1.09773";NA;NA;"0.026754813"
"36.9000139";"-30.50630911";"113.4591195";"238.8548485";NA;NA;"2.46509";NA;NA;"0.009597217"
"21.17982739";"-31.56766165";"178.0200574";"265.2214511";NA;NA;"1.08187";NA;NA;"0.022175143"
"47.43281499";"-31.01036564";"80.68152031";"261.3045833";NA;NA;"3.64976";NA;NA;"0.014341"
"33.45088645";"-31.56978724";"125.5666364";"238.0773655";NA;NA;"2.71315";NA;NA;"0.01755581"
"55.12666702";"-32.44658205";"63.72765124";"284.649452";NA;NA;"5.9812";NA;NA;"0.009222"
"44.06878028";"-32.21765887";"86.50953984";"262.3040328";NA;NA;"4.57669";NA;NA;"0.0110695"
"18.19298809";NA;"190.4174035";"288.661807";NA;NA;NA;NA;NA;"0.02153386"
"41.67889843";NA;"98.022796";"244.7691512";NA;NA;NA;NA;NA;"0.014894727"
"24.15488706";NA;"148.7562189";"278.3042624";NA;NA;NA;NA;NA;"0.024844727"
"60.74799244";"-32.54187094";"67.64844117";"243.3381916";NA;NA;"5.01759";NA;NA;"0.009497789"
"55.49998653";"-32.73190508";"74.59584296";"241.5419101";NA;NA;"6.60082";NA;NA;"0.009350125"
"63.46289698";"-31.69967922";"64.84091824";"243.0138078";NA;NA;"7.18918";NA;NA;"0.010374375"
"43.62472359";"-31.53375778";"105.8165548";"216.6275531";NA;NA;"3.09091";NA;NA;"0.016030696"
"14.30683545";"-30.29520726";"222.0714137";"314.7485663";NA;NA;"0.807713";NA;NA;"0.029402"
"24.40080976";"-31.09284719";"144.8525858";"282.9238171";NA;NA;"1.98133";NA;NA;"0.02005287"
"22.5419478";"-30.6359703";"157.1214393";"282.3404558";NA;NA;"2.17463";NA;NA;"0.020502"
"21.58112584";NA;"167.7038204";"276.3013117";NA;NA;NA;NA;NA;"0.017736688"
"37.05521236";"-30.87941299";"98.65100087";"273.55786";NA;NA;"3.25453";NA;NA;"0.012295333"
"46.86952855";"-32.05372306";"80.06372326";"266.4855302";NA;NA;"4.08694";NA;NA;"0.011129826"
"28.91422191";"-30.19670082";"120.5414013";"286.9143397";NA;NA;"1.50096";NA;NA;"0.016428071"
"27.29086829";"-30.64420866";"143.0708109";"256.1129909";NA;NA;"1.94912";NA;NA;"0.023718667"
"56.43731754";"-31.80134556";"65.41080345";"270.8844983";NA;NA;"4.87581";NA;NA;"0.011242"
"22.79993983";"-30.05955385";"172.4445199";"254.3413087";NA;NA;"1.49368";NA;NA;"0.0205095"
"19.77072572";"-30.38025411";"206.3544872";"245.1113781";NA;NA;"1.32283";NA;NA;"0.012790698"
