"absSelec";"wavelength";"name"
NA;350;"Individual"
NA;351;"Individual"
NA;352;"Individual"
NA;353;"Individual"
NA;354;"Individual"
NA;355;"Individual"
NA;356;"Individual"
NA;357;"Individual"
NA;358;"Individual"
NA;359;"Individual"
NA;360;"Individual"
NA;361;"Individual"
NA;362;"Individual"
NA;363;"Individual"
NA;364;"Individual"
NA;365;"Individual"
NA;366;"Individual"
NA;367;"Individual"
NA;368;"Individual"
NA;369;"Individual"
NA;370;"Individual"
NA;371;"Individual"
NA;372;"Individual"
NA;373;"Individual"
NA;374;"Individual"
NA;375;"Individual"
NA;376;"Individual"
NA;377;"Individual"
NA;378;"Individual"
NA;379;"Individual"
NA;380;"Individual"
NA;381;"Individual"
NA;382;"Individual"
NA;383;"Individual"
NA;384;"Individual"
NA;385;"Individual"
NA;386;"Individual"
NA;387;"Individual"
NA;388;"Individual"
NA;389;"Individual"
NA;390;"Individual"
NA;391;"Individual"
NA;392;"Individual"
NA;393;"Individual"
NA;394;"Individual"
NA;395;"Individual"
NA;396;"Individual"
NA;397;"Individual"
NA;398;"Individual"
NA;399;"Individual"
NA;400;"Individual"
NA;401;"Individual"
NA;402;"Individual"
NA;403;"Individual"
NA;404;"Individual"
NA;405;"Individual"
NA;406;"Individual"
NA;407;"Individual"
NA;408;"Individual"
NA;409;"Individual"
NA;410;"Individual"
NA;411;"Individual"
NA;412;"Individual"
NA;413;"Individual"
NA;414;"Individual"
NA;415;"Individual"
NA;416;"Individual"
NA;417;"Individual"
NA;418;"Individual"
NA;419;"Individual"
NA;420;"Individual"
NA;421;"Individual"
NA;422;"Individual"
NA;423;"Individual"
NA;424;"Individual"
NA;425;"Individual"
NA;426;"Individual"
NA;427;"Individual"
NA;428;"Individual"
NA;429;"Individual"
NA;430;"Individual"
NA;431;"Individual"
NA;432;"Individual"
NA;433;"Individual"
NA;434;"Individual"
NA;435;"Individual"
NA;436;"Individual"
NA;437;"Individual"
NA;438;"Individual"
NA;439;"Individual"
NA;440;"Individual"
NA;441;"Individual"
NA;442;"Individual"
NA;443;"Individual"
NA;444;"Individual"
NA;445;"Individual"
NA;446;"Individual"
NA;447;"Individual"
NA;448;"Individual"
NA;449;"Individual"
NA;450;"Individual"
NA;451;"Individual"
NA;452;"Individual"
NA;453;"Individual"
NA;454;"Individual"
NA;455;"Individual"
NA;456;"Individual"
NA;457;"Individual"
NA;458;"Individual"
NA;459;"Individual"
NA;460;"Individual"
NA;461;"Individual"
NA;462;"Individual"
NA;463;"Individual"
NA;464;"Individual"
NA;465;"Individual"
NA;466;"Individual"
NA;467;"Individual"
NA;468;"Individual"
NA;469;"Individual"
NA;470;"Individual"
NA;471;"Individual"
NA;472;"Individual"
NA;473;"Individual"
NA;474;"Individual"
NA;475;"Individual"
NA;476;"Individual"
