Identification;idExp;Main_contributor;IndOut;Exp_location;Condition;Treatment;Genotype;Genetic_group;Plant_Stage;Leaf_Stage;Type_Sample;Measurement;Leaf_Status;Date;SLA_mm2_mg;LDMC_mg_g;Thickness_microm;CSR_C;CSR_S;CSR_R;LNC_perc;LCC_perc;RWC_perc;SA_ng_gFW;JA_ng_gFW;IAA_ng_gFW;ABA_ng_gFW;CMLX_ng_gFW;Progoitrin_Peakarea_mg;Epiprogoitrin_Peakarea_mg;Sinigrin_Peakarea_mg;Glucoraphanin_Peakarea_mg;Glucoraphenin_Peakarea_mg;Glucosilbin_Peakarea_mg;Glucopin_Peakarea_mg;Glucoerucin_Peakarea_mg;Glucobrassicin_Peakarea_mg;X8MSO_Peakarea_mg;Isobutyl_Peakarea_mg;Butyl_Peakarea_mg;X5MTP_Peakarea_mg;Neoglucobrassicin_Peak1_Peakarea_mg;Neoglucobrassicin_Peak2_Peakarea_mg;Hexyl_Peakarea_mg;Glucoalysiin_Peakarea_mg;X3MTP_Peakarea_mg;Glucosturtiin_Peakarea_mg;X7MTH_Peakarea_mg;X6MSH_Peakarea_mg;X8MTO_Peakarea_mg;X7MSH_Peakarea_mg;pCoumaricAcid_Peakarea_mg;Succit_Peakarea_mg;Malat_Peakarea_mg;Citrat_Peakarea_mg;Fumarat_Peakarea_mg;Cyanidin_rhamnoside_Peakarea_mg;Kaempherol_xylosyl_rhamnoside_Peakarea_mg;Kaempherol_rutinoside_Peakarea_mg;Kaempherol_glucosyl_rhamnosyl_glucoside_Peakarea_mg;Apigenin_rutinoside_Peakarea_mg;Quercetin_glucoside_Peakarea_mg;Cyanidin_sophorosid_glucoside_Peakarea_mg;Pelargonidin_sambubioside_Peakarea_mg;Pelargonidin_cumaroyl_diglucoside_glucoside_Peakarea_mg;Prenyl_ringenin_Peakarea_mg;mCoumaricAcid_Peakarea_mg;Dihydro_caffeoyl_glucuronide_Peakarea_mg;CaffeicAcid_Peakarea_mg;ChlorogenicAcid_Peakarea_mg;Epigallocatechin_Peakarea_mg;Fructose_micromol_gFW;Galactose_micromol_gFW;Glucose_micromol_gFW;Maltose_micromol_gFW;Melezitose_micromol_gFW;delta13C;delta15N;Xylose_micromol_gFW;Arabinose_micromol_gFW;Ribose_micromol_gFW;Rhamnose_micromol_gFW;Fucose_micromol_gFW;Mannose_micromol_gFW;Inositol_micromol_gFW;Sucrose_micromol_gFW;Cellobiose_micromol_gFW;Trehalose_micromol_gFW;Palatinose_micromol_gFW;Melibiose_micromol_gFW;Isomaltose_micromol_gFW;Raffinose_micromol_gFW;Plant_Growth_rate;Mannose_Xylose_micromol_gFW;Plant_Lifespan
AraBreed_Outside_Spring2018-508;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;Controle;;;Flowering;Mature leaf;Living leaf;;detached;20180319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5378;6080;NA;0;NA;15510;0;1540;4076;NA;5;NA;411;132;32;NA;1;5;281;77;1141;481;1;70;3514;5556;175;2953;1931;5034;111;2365;NA;110;471;54;66;54;8;2;22;539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-511;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;Controle;;;Flowering;Mature leaf;Living leaf;;detached;20180319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;14462;39;1;1;0;154;0;2782;3358;12;7;0;172;329;2;1;9;37;135;16;2374;153;1;107;2488;2983;318;1947;1735;3124;46;1544;18;31;298;47;31;48;6;0;29;528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-514;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;8;0;NA;0;0;0;0;1480;1649;1;2;2;89;218;0;5;7;33;118;28;1330;152;1;39;808;3008;107;1049;987;2104;374;823;9;318;261;34;19;16;2;0;17;317;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-517;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;174;15172;729;1;0;1;1566;0;1751;3530;143;5;0;117;207;13;1;NA;11;126;25;2382;162;1;87;1655;2519;183;1599;1318;2371;1354;1299;27;1257;230;72;28;45;5;1;7;478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-520;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;353;11157;1904;22;0;13;8902;0;625;3445;852;6;2;243;103;9;7;4;6;340;46;1130;414;0;36;1861;6886;16;3149;2779;4993;984;2592;36;614;545;91;34;24;9;1;33;431;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-522;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;16109;75;0;1;0;109;0;2216;2089;8;2;0;64;57;13;2;NA;14;88;29;1797;125;0;109;1126;2135;288;1305;1206;2196;33;1033;5;40;197;48;23;58;1;0;20;452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-524;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;722;NA;13;0;4;4028;0;459;3281;382;1;4;192;71;NA;11;0;0;496;108;687;NA;1;35;875;4820;4;1301;1638;3794;113;1102;21;94;542;58;51;35;2;1;18;319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-527;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;291;6914;2116;12;0;1;4734;0;112;2830;449;2;0;79;122;9;2;1;2;45;19;348;227;0;44;910;4975;3;982;763;2133;252;841;1;231;74;22;14;8;3;0;3;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-530;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;13628;237;11;0;10;11528;0;3590;4101;1093;13;0;57;NA;1;5;2;7;15;38;244;304;1;56;816;1906;NA;1664;1375;2846;1394;1349;18;709;97;47;45;26;2;1;15;325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-533;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1258;NA;51;0;9;14134;0;NA;5976;1338;3;6;133;NA;NA;NA;2;1;394;NA;3067;693;2;186;3500;4250;NA;2502;2542;4625;83;2089;13;73;233;89;60;47;3;1;31;462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2018-536;AraBreed Spring2018;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20180320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3878;8142;13;0;2;3593;0;1645;4297;341;1;3;100;440;NA;16;1;2;575;NA;1738;NA;0;78;1414;3273;141;1321;1177;2328;55;1107;6;24;217;50;29;16;2;0;22;198;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
